Date,Open,High,Low,Close,Adj Close,Volume
2016-02-18,184.000000,184.000000,184.000000,184.000000,164.448074,0
2016-02-19,175.000000,175.000000,175.000000,175.000000,156.404419,200
2016-02-22,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-02-23,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-02-24,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-02-25,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-02-26,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-02-29,170.000000,170.000000,170.000000,170.000000,151.935715,25100
2016-03-01,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-03-02,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-03-03,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-03-04,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-03-07,185.000000,185.000000,185.000000,185.000000,165.341797,100
2016-03-08,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-10,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-16,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-17,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-18,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-21,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-22,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-23,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-24,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-28,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-29,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-30,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-03-31,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-04-01,185.000000,185.000000,185.000000,185.000000,165.341797,0
2016-04-04,175.000000,175.000000,175.000000,175.000000,156.404419,100
2016-04-05,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-04-06,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-04-07,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-04-08,175.000000,175.000000,175.000000,175.000000,156.404419,0
2016-04-11,null,null,null,null,null,null
2016-04-12,160.000000,170.000000,160.000000,170.000000,151.935715,17100
2016-04-13,null,null,null,null,null,null
2016-04-14,null,null,null,null,null,null
2016-04-15,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-19,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-04-20,170.000000,170.000000,170.000000,170.000000,151.935715,0
2016-04-21,161.000000,161.000000,161.000000,161.000000,143.892044,5000
2016-04-22,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-04-25,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-04-26,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-04-27,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-04-28,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-04-29,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-02,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-03,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-04,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-09,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-10,161.000000,161.000000,161.000000,161.000000,143.892044,2500
2016-05-11,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-12,161.000000,161.000000,161.000000,161.000000,143.892044,0
2016-05-13,161.000000,184.000000,161.000000,184.000000,164.448074,100000
2016-05-16,184.000000,184.000000,184.000000,184.000000,164.448074,0
2016-05-17,184.000000,184.000000,184.000000,184.000000,164.448074,0
2016-05-18,184.000000,184.000000,184.000000,184.000000,164.448074,0
2016-05-19,184.000000,184.000000,184.000000,184.000000,164.448074,0
2016-05-20,183.000000,183.000000,183.000000,183.000000,163.554321,400
2016-05-23,184.000000,184.000000,184.000000,184.000000,164.448074,270000
2016-05-24,185.000000,186.000000,185.000000,186.000000,166.235550,90000
2016-05-25,186.000000,189.000000,186.000000,189.000000,168.916763,241000
2016-05-26,189.000000,193.000000,189.000000,193.000000,172.491714,367000
2016-05-27,193.000000,206.000000,193.000000,204.000000,182.322845,570100
2016-05-30,204.000000,208.000000,202.000000,204.000000,182.322845,298600
2016-05-31,206.000000,210.000000,206.000000,208.000000,185.897812,202500
2016-06-01,208.000000,214.000000,208.000000,214.000000,191.260254,130100
2016-06-02,216.000000,224.000000,216.000000,224.000000,200.197647,429900
2016-06-03,224.000000,228.000000,224.000000,224.000000,200.197647,316000
2016-06-06,218.000000,228.000000,218.000000,226.000000,201.985123,151500
2016-06-07,226.000000,234.000000,226.000000,232.000000,207.347565,477200
2016-06-08,234.000000,240.000000,226.000000,234.000000,209.135040,397100
2016-06-09,234.000000,238.000000,234.000000,238.000000,212.710007,297300
2016-06-10,236.000000,240.000000,236.000000,238.000000,222.419830,535700
2016-06-13,238.000000,238.000000,230.000000,230.000000,214.943542,269000
2016-06-14,230.000000,236.000000,224.000000,224.000000,209.336304,922700
2016-06-15,224.000000,226.000000,212.000000,224.000000,209.336304,1103000
2016-06-16,220.000000,220.000000,210.000000,210.000000,196.252792,1245300
2016-06-17,210.000000,216.000000,208.000000,208.000000,194.383713,328400
2016-06-20,208.000000,212.000000,208.000000,212.000000,198.121857,55400
2016-06-21,212.000000,214.000000,206.000000,206.000000,192.514648,530800
2016-06-22,212.000000,212.000000,206.000000,206.000000,192.514648,301700
2016-06-23,206.000000,212.000000,206.000000,208.000000,194.383713,125200
2016-06-24,208.000000,208.000000,199.000000,206.000000,192.514648,310000
2016-06-27,206.000000,208.000000,206.000000,208.000000,194.383713,5500
2016-06-28,210.000000,210.000000,210.000000,210.000000,196.252792,103800
2016-06-29,210.000000,210.000000,210.000000,210.000000,196.252792,0
2016-06-30,210.000000,210.000000,210.000000,210.000000,196.252792,0
2016-07-01,210.000000,210.000000,210.000000,210.000000,196.252792,0
2016-07-11,210.000000,210.000000,210.000000,210.000000,196.252792,0
2016-07-12,210.000000,210.000000,210.000000,210.000000,196.252792,0
2016-07-13,210.000000,210.000000,210.000000,210.000000,196.252792,500
2016-07-14,200.000000,200.000000,200.000000,200.000000,186.907410,51700
2016-07-15,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-18,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-19,200.000000,200.000000,200.000000,200.000000,186.907410,5000
2016-07-20,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-21,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-22,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-25,200.000000,200.000000,200.000000,200.000000,186.907410,0
2016-07-26,200.000000,210.000000,200.000000,210.000000,196.252792,200
